Населенный пункт,Лицевой счет,ФИО,Тип учета,Тип здания,Улица,Дом,Состояние подключения,Объект АСКУГ,Оснащенность СТМ,Дата последней проверки,Модель счетчика газа,Заводской номер,Очередная поверка счетчика,Предыдущие учтёные показания,Текущие (последние) учтёные показания,"Площадь жилая, м2",Количество проживающих,Газовый котел,Газовая колонка,Газовая плита
поселок И,162,Фамилия Имя Отчество,Счетчик,частный,ул Толстого,д.31,Подключен,нет,нет,2019-06-13,"ВК-G4T  Elster, Германия",1162,2028-08-24,5 917,5 917,0,2,ДОН-16 УГОП;,Отсутствует,ПГ3;
поселок И,163,Фамилия Имя Отчество,Счетчик,частный,ул Толстого,д.38,Подключен,нет,нет,2015-12-15,"ВК-G4T  Elster, Германия",1163,2025-08-10,20 700,20 700,"75,6",8,Navien Ace 16к;,ВПГ автоматический;,ПВ4 Gefest;
поселок И,164,Фамилия Имя Отчество,Счетчик,частный,ул Толстого,д.71,Подключен,нет,нет,2020-08-07,"СГМН-1 G6 г. Минск, МПИ 8лет",1164,2028-06-05,56 259,56 259,"94,1",1,"АОГВ-11,6 ""Сигнал"" Сигнал;",Отсутствует,ПВ4 Gefest;
поселок И,165,Фамилия Имя Отчество,Счетчик,частный,ул Тургенева,д.25А,Подключен,нет,нет,2019-10-15,"СГМН-1 G6 г. Минск, МПИ 8лет",1165,2027-09-18,23 803,23 803,"80,1",5,"АОГВ-11,6 ""Сигнал"" Сигнал;",ВПГ автоматический;,ПГ4;
поселок И,166,Фамилия Имя Отчество,Счетчик,частный,ул Тюменская,д.52,Подключен,нет,нет,2021-12-06,"ВК-G4T  Elster, Германия",1166,2025-08-21,11 819,11 819,"290,1",1,Buderus;,ВПГ автоматический;,ПГ4;
поселок И,167,Фамилия Имя Отчество,Счетчик,частный,ул Украинская,д.105,Подключен,нет,нет,2019-01-30,"ВК-G4T  Elster, Германия",1167,2027-01-01,6 168,6 168,"144,9",1,Baxi Main Four 24F;,ВПГ автоматический;,ПГ4 Ariston; ПВ4 Gefest;
поселок И,168,Фамилия Имя Отчество,Счетчик,частный,ул Украинская,д.119,Подключен,нет,нет,2019-09-17,"ВК-G4T  Elster, Германия",1168,2029-06-10,2 013,2 013,"89,7",1,Navien Ace 16к;,ВПГ автоматический;,панель варочная;
поселок И,169,Фамилия Имя Отчество,Счетчик,частный,ул Украинская,д.51,Подключен,нет,нет,2017-07-31,"СГМН-1 G6 г. Минск, МПИ 8лет",1169,2025-07-28,53 615,53 630,62,4,Protherm;,ВПГ автоматический;,ПВ4 Gefest;
поселок И,170,Фамилия Имя Отчество,Счетчик,частный,ул Центральная,д.12,Подключен,нет,нет,2021-09-10,"ВК-G4T  Эльстер Газэлектроника, г.Арзамас",1170,2031-10-08,9 556,9 556,"86,8",1,Navien Deluxe Coaxial 13K;,Отсутствует,ПГ4;
поселок И,171,Фамилия Имя Отчество,Счетчик,частный,ул Черноморская,д.57,Подключен,нет,нет,2020-09-22,"BK-G6 ООО ""Метэко-Премагаз"", г.Москва",1171,2030-09-17,2 736,2 736,"53,5",4,Нева Люкс;,Контур ГВС котла (бойлер);,Гефест4; ПГ4 Nord;
поселок И,172,Фамилия Имя Отчество,Счетчик,частный,ул Чернышевского,д.3,Подключен,нет,нет,2021-06-04,"СГМН-1 G6 г. Минск, МПИ 8лет",1172,2029-06-02,31 754,31 754,"50,8",2,"АОГВ 11,6;",Отсутствует,Greta4;
поселок И,173,Фамилия Имя Отчество,Счетчик,частный,ул Чернышевского,д.57А,Подключен,нет,нет,2020-07-24,MKM G4  Premagas s.r.o. Словакия,1173,2030-07-15,18 584,18 584,"59,5",2,"АОГВ-11,6-3 Ростов;",Отсутствует,ПГ4;
поселок И,174,Фамилия Имя Отчество,Счетчик,частный,ул Шевченко,д.47,Подключен,нет,нет,2021-12-20,"BK-G6T Elster, Германия",1174,2029-05-14,27 864,27 864,0,5,УГОП-П-16-L11; УГОП-П-16-L11;,Отсутствует,ПГ4 Bosch;
поселок И,175,Фамилия Имя Отчество,Счетчик,частный,ул Шевченко,д.51,Подключен,нет,нет,2020-10-02,BK G6  Premagas s.r.o. Словакия,1175,2030-06-17,3 100,3 100,0,3,УГОП-П-16-L11;,Отсутствует,King4;
поселок И,176,Фамилия Имя Отчество,Счетчик,частный,ул Шевченко,д.80,Подключен,нет,нет,2018-09-03,"ВК-G4T  Elster, Германия",1176,2028-08-16,28 433,28 433,"51,8",6,"АОГВ-11,6-3 Ростов;",Отсутствует,ПГ4; ПГ4;
поселок И,177,Фамилия Имя Отчество,Счетчик,частный,ул Широкая,д.171,Подключен,нет,нет,2020-08-31,"BK-G6T Elster, Германия",1177,2030-08-27,16 909,16 909,0,1,УГОП-П-16-L11; УГОП-П-16-L11;,Отсутствует,Гефест4;
поселок И,178,Фамилия Имя Отчество,Счетчик,частный,ул Широкая,д.173,Подключен,нет,нет,2021-02-03,"СГМН-1 G6 г. Минск, МПИ 8лет",1178,2027-11-07,31 288,31 288,0,2,ДОН-16 УГОП; ДОН-16 УГОП;,Отсутствует,Гефест4;
поселок И,179,Фамилия Имя Отчество,Счетчик,частный,ул Широкая,д.181,Подключен,нет,нет,2018-06-13,"BK-G6T Elster, Германия",1179,2027-05-30,10 612,10 612,81,1,Baxi Main Four 24F;,ВПГ автоматический;,ПГ4 Bosch;
поселок И,180,Фамилия Имя Отчество,Счетчик,частный,ул Широкая,д.192,Подключен,нет,нет,2019-12-26,"ВК-G4T  Elster, Германия",1180,2029-08-28,10 478,10 478,"33,9",1,"АОГВ-17,4-1 Арбат;",Отсутствует,Гефест4;
поселок И,181,Фамилия Имя Отчество,Счетчик,частный,ул Широкая,д.210,Подключен,нет,нет,2012-10-08,"BK-G6 ООО ""Метэко-Премагаз"", г.Москва",1181,2029-10-14,209,209,"73,5",2,"АОГВ-11,6-3 Ростов;",Vektor;,Гефест4;
поселок И,182,Фамилия Имя Отчество,Счетчик,частный,ул Широкая,д.49,Подключен,нет,нет,2021-10-25,"ВК-G4T  Elster, Германия",1182,2031-10-21,39 500,39 500,"93,3",1,Ariston Egis Plus 24 CF;,Отсутствует,ПГ4 Mabe;
поселок И,183,Фамилия Имя Отчество,Счетчик,частный,ул Юбилейная,д.41,Подключен,нет,нет,2022-07-12,"СГМН-1 G6 г. Минск, МПИ 8лет",1183,2030-07-12,31 780,31 780,"81,1",3,Siberia;,Отсутствует,Гефест4;
поселок И,184,Фамилия Имя Отчество,Счетчик,частный,ул Юбилейная,д.95,Подключен,нет,нет,2019-05-07,"ВК-G4T  Elster, Германия",1184,2029-02-04,11 067,11 067,0,1,УГОП-П-16-L11;,Отсутствует,ПГ4;
поселок И,185,Фамилия Имя Отчество,Счетчик,частный,ул Южная,д.17А,Подключен,нет,нет,2021-11-26,"ВК-G4T  Elster, Германия",1185,2028-06-13,12 424,12 424,70,5,Данко 15С;,Отсутствует,ПВ4 Gefest;
поселок И,186,Фамилия Имя Отчество,Счетчик,частный,ул Яна Полуяна,д.22А,Подключен,нет,нет,2021-04-27,"СГМН-1 G6 г. Минск, МПИ 8лет",1186,2026-07-13,54 579,54 579,"121,1",3,Navien Ace 16к;,ВПГ автоматический;,Брест-04;
